Borough,Grade,Year,Category,Number Tested,Mean Scale Score,Level1,Level1p,Level2,Level2p,Level3,Level3p,Level4,Level4p,Level3&4,Level3&4p
MANHATTAN,8,2008,Female,4871,660,419,8.60%,1512,31.00%,2295,47.10%,645,13.20%,2940,60.40%
MANHATTAN,8,2008,Male,5003,655,582,11.60%,1610,32.20%,2251,45.00%,560,11.20%,2811,56.20%
MANHATTAN,8,2009,Female,4676,670,180,3.80%,1064,22.80%,2631,56.30%,801,17.10%,3432,73.40%
MANHATTAN,8,2009,Male,4728,666,252,5.30%,1182,25.00%,2650,56.00%,644,13.60%,3294,69.70%
MANHATTAN,8,2010,Female,4522,676,490,10.80%,1714,37.90%,1446,32.00%,872,19.30%,2318,51.30%
MANHATTAN,8,2010,Male,4801,671,667,13.90%,1922,40.00%,1430,29.80%,782,16.30%,2212,46.10%
MANHATTAN,8,2011,Female,4416,678,410,9.30%,1435,32.50%,1638,37.10%,933,21.10%,2571,58.20%
MANHATTAN,8,2011,Male,4643,674,560,12.10%,1615,34.80%,1617,34.80%,851,18.30%,2468,53.20%
MANHATTAN,All Grades,2006,Female,29672,656,4172,14.10%,8646,29.10%,12434,41.90%,4420,14.90%,16854,56.80%
MANHATTAN,All Grades,2006,Male,30348,655,4993,16.50%,8471,27.90%,12488,41.10%,4396,14.50%,16884,55.60%
MANHATTAN,All Grades,2007,Female,28266,665,2616,9.30%,7318,25.90%,12995,46.00%,5337,18.90%,18332,64.90%
MANHATTAN,All Grades,2007,Male,29300,662,3498,11.90%,7501,25.60%,13137,44.80%,5164,17.60%,18301,62.50%
MANHATTAN,All Grades,2008,Female,27194,673,1423,5.20%,5392,19.80%,14364,52.80%,6015,22.10%,20379,74.90%
MANHATTAN,All Grades,2008,Male,28173,670,2122,7.50%,5868,20.80%,14306,50.80%,5877,20.90%,20183,71.60%
MANHATTAN,All Grades,2009,Female,26521,682,749,2.80%,3737,14.10%,14601,55.10%,7434,28.00%,22035,83.10%
MANHATTAN,All Grades,2009,Male,27593,679,1088,3.90%,4340,15.70%,14925,54.10%,7240,26.20%,22165,80.30%
MANHATTAN,All Grades,2010,Female,26253,682,2446,9.30%,8918,34.00%,8266,31.50%,6623,25.20%,14889,56.70%
MANHATTAN,All Grades,2010,Male,27353,680,3120,11.40%,9311,34.00%,8491,31.00%,6431,23.50%,14922,54.60%
MANHATTAN,All Grades,2011,Female,25941,684,2137,8.20%,7863,30.30%,9306,35.90%,6635,25.60%,15941,61.50%
MANHATTAN,All Grades,2011,Male,26889,682,2735,10.20%,8464,31.50%,9030,33.60%,6660,24.80%,15690,58.40%
QUEENS,3,2006,Female,9314,684,479,5.10%,1063,11.40%,4703,50.50%,3069,33.00%,7772,83.40%
QUEENS,3,2006,Male,9850,684,577,5.90%,1086,11.00%,5016,50.90%,3171,32.20%,8187,83.10%
QUEENS,3,2007,Female,9404,692,275,2.90%,870,9.30%,4665,49.60%,3594,38.20%,8259,87.80%
QUEENS,3,2007,Male,9917,690,404,4.10%,860,8.70%,5050,50.90%,3603,36.30%,8653,87.30%
QUEENS,3,2008,Female,9331,692,158,1.70%,570,6.10%,5828,62.50%,2775,29.70%,8603,92.20%
QUEENS,3,2008,Male,9824,691,222,2.30%,742,7.60%,5968,60.70%,2892,29.40%,8860,90.20%
QUEENS,3,2009,Female,9701,696,69,0.70%,495,5.10%,6045,62.30%,3092,31.90%,9137,94.20%
QUEENS,3,2009,Male,10337,694,110,1.10%,576,5.60%,6640,64.20%,3011,29.10%,9651,93.40%
QUEENS,3,2010,Female,9752,696,762,7.80%,3067,31.40%,3236,33.20%,2687,27.60%,5923,60.70%
QUEENS,3,2010,Male,10331,695,927,9.00%,3071,29.70%,3605,34.90%,2728,26.40%,6333,61.30%
QUEENS,3,2011,Female,10152,688,739,7.30%,3248,32.00%,4686,46.20%,1479,14.60%,6165,60.70%
QUEENS,3,2011,Male,10580,688,839,7.90%,3107,29.40%,4981,47.10%,1653,15.60%,6634,62.70%
QUEENS,4,2006,Female,9515,679,560,5.90%,1469,15.40%,4816,50.60%,2670,28.10%,7486,78.70%
QUEENS,4,2006,Male,9744,680,672,6.90%,1275,13.10%,4876,50.00%,2921,30.00%,7797,80.00%
QUEENS,4,2007,Female,9256,684,445,4.80%,1264,13.70%,4700,50.80%,2847,30.80%,7547,81.50%
QUEENS,4,2007,Male,9812,685,586,6.00%,1223,12.50%,4777,48.70%,3226,32.90%,8003,81.60%
QUEENS,4,2008,Female,9359,686,355,3.80%,1018,10.90%,4943,52.80%,3043,32.50%,7986,85.30%
QUEENS,4,2008,Male,9915,687,497,5.00%,1029,10.40%,4982,50.20%,3407,34.40%,8389,84.60%
QUEENS,4,2009,Female,9325,696,246,2.60%,722,7.70%,4527,48.50%,3830,41.10%,8357,89.60%
QUEENS,4,2009,Male,9869,695,347,3.50%,738,7.50%,4695,47.60%,4089,41.40%,8784,89.00%
QUEENS,4,2010,Female,9838,690,469,4.80%,2993,30.40%,3471,35.30%,2905,29.50%,6376,64.80%
QUEENS,4,2010,Male,10555,691,583,5.50%,2970,28.10%,3756,35.60%,3246,30.80%,7002,66.30%
QUEENS,4,2011,Female,9894,693,359,3.60%,2538,25.70%,3841,38.80%,3156,31.90%,6997,70.70%
QUEENS,4,2011,Male,10340,692,522,5.00%,2588,25.00%,3949,38.20%,3281,31.70%,7230,69.90%
QUEENS,5,2006,Female,9796,671,739,7.50%,2003,20.40%,4822,49.20%,2232,22.80%,7054,72.00%
QUEENS,5,2006,Male,10135,672,874,8.60%,1928,19.00%,4805,47.40%,2528,24.90%,7333,72.40%
QUEENS,5,2007,Female,9548,681,390,4.10%,1463,15.30%,4918,51.50%,2777,29.10%,7695,80.60%
QUEENS,5,2007,Male,9948,680,543,5.50%,1439,14.50%,4995,50.20%,2971,29.90%,7966,80.10%
QUEENS,5,2008,Female,9322,686,248,2.70%,993,10.70%,5005,53.70%,3076,33.00%,8081,86.70%
QUEENS,5,2008,Male,9824,685,335,3.40%,1137,11.60%,5076,51.70%,3276,33.30%,8352,85.00%
QUEENS,5,2009,Female,9421,691,135,1.40%,786,8.30%,4591,48.70%,3909,41.50%,8500,90.20%
QUEENS,5,2009,Male,10019,689,223,2.20%,952,9.50%,4729,47.20%,4115,41.10%,8844,88.30%
QUEENS,5,2010,Female,9545,689,474,5.00%,2591,27.10%,3697,38.70%,2783,29.20%,6480,67.90%
QUEENS,5,2010,Male,10082,689,541,5.40%,2721,27.00%,3853,38.20%,2967,29.40%,6820,67.60%
QUEENS,5,2011,Female,9928,691,425,4.30%,2467,24.80%,4140,41.70%,2896,29.20%,7036,70.90%
QUEENS,5,2011,Male,10568,690,588,5.60%,2583,24.40%,4276,40.50%,3121,29.50%,7397,70.00%
QUEENS,6,2006,Female,9470,663,969,10.20%,2307,24.40%,4467,47.20%,1727,18.20%,6194,65.40%
QUEENS,6,2006,Male,9990,662,1127,11.30%,2380,23.80%,4675,46.80%,1808,18.10%,6483,64.90%
QUEENS,6,2007,Female,9505,676,564,5.90%,1652,17.40%,4786,50.40%,2503,26.30%,7289,76.70%
QUEENS,6,2007,Male,10038,674,816,8.10%,1711,17.00%,4942,49.20%,2569,25.60%,7511,74.80%
QUEENS,6,2008,Female,9388,681,364,3.90%,1211,12.90%,4782,50.90%,3031,32.30%,7813,83.20%
QUEENS,6,2008,Male,9811,678,538,5.50%,1527,15.60%,4752,48.40%,2994,30.50%,7746,79.00%
QUEENS,6,2009,Female,9390,686,229,2.40%,1040,11.10%,4863,51.80%,3258,34.70%,8121,86.50%
QUEENS,6,2009,Male,9973,682,398,4.00%,1332,13.40%,5020,50.30%,3223,32.30%,8243,82.70%
QUEENS,6,2010,Female,9631,684,712,7.40%,2869,29.80%,3010,31.30%,3040,31.60%,6050,62.80%
QUEENS,6,2010,Male,10247,682,895,8.70%,3091,30.20%,3235,31.60%,3026,29.50%,6261,61.10%
QUEENS,6,2011,Female,9661,686,623,6.40%,2578,26.70%,3449,35.70%,3011,31.20%,6460,66.90%
QUEENS,6,2011,Male,10213,684,825,8.10%,2915,28.50%,3450,33.80%,3023,29.60%,6473,63.40%
QUEENS,7,2006,Female,9680,653,1066,11.00%,3145,32.50%,4236,43.80%,1233,12.70%,5469,56.50%
QUEENS,7,2006,Male,9974,650,1357,13.60%,3294,33.00%,4116,41.30%,1207,12.10%,5323,53.40%
QUEENS,7,2007,Female,9427,667,570,6.00%,2408,25.50%,4388,46.50%,2061,21.90%,6449,68.40%
QUEENS,7,2007,Male,10164,661,897,8.80%,2788,27.40%,4596,45.20%,1883,18.50%,6479,63.70%
QUEENS,7,2008,Female,9595,675,267,2.80%,1702,17.70%,5036,52.50%,2590,27.00%,7626,79.50%
QUEENS,7,2008,Male,10104,673,457,4.50%,1948,19.30%,5075,50.20%,2624,26.00%,7699,76.20%
QUEENS,7,2009,Female,9486,683,102,1.10%,1018,10.70%,5250,55.30%,3116,32.80%,8366,88.20%
QUEENS,7,2009,Male,10103,682,154,1.50%,1253,12.40%,5577,55.20%,3119,30.90%,8696,86.10%
QUEENS,7,2010,Female,9628,680,732,7.60%,2749,28.60%,2977,30.90%,3170,32.90%,6147,63.80%
QUEENS,7,2010,Male,10241,677,915,8.90%,3185,31.10%,3073,30.00%,3068,30.00%,6141,60.00%
QUEENS,7,2011,Female,9743,681,598,6.10%,2830,29.00%,3211,33.00%,3104,31.90%,6315,64.80%
QUEENS,7,2011,Male,10446,679,897,8.60%,2977,28.50%,3277,31.40%,3295,31.50%,6572,62.90%
QUEENS,8,2006,Female,9506,651,1558,16.40%,3238,34.10%,3544,37.30%,1166,12.30%,4710,49.50%
QUEENS,8,2006,Male,10073,647,1894,18.80%,3544,35.20%,3577,35.50%,1058,10.50%,4635,46.00%
QUEENS,8,2007,Female,9747,660,1106,11.30%,3014,30.90%,4175,42.80%,1452,14.90%,5627,57.70%
QUEENS,8,2007,Male,10057,656,1336,13.30%,3173,31.60%,4222,42.00%,1326,13.20%,5548,55.20%
QUEENS,8,2008,Female,9444,670,501,5.30%,2231,23.60%,4788,50.70%,1924,20.40%,6712,71.10%
QUEENS,8,2008,Male,10180,666,802,7.90%,2503,24.60%,5035,49.50%,1840,18.10%,6875,67.50%
QUEENS,8,2009,Female,9730,678,217,2.20%,1637,16.80%,5606,57.60%,2270,23.30%,7876,80.90%
QUEENS,8,2009,Male,10328,675,376,3.60%,1975,19.10%,5867,56.80%,2110,20.40%,7977,77.20%
QUEENS,8,2010,Female,9844,684,712,7.20%,3213,32.60%,3310,33.60%,2609,26.50%,5919,60.10%
QUEENS,8,2010,Male,10445,679,1048,10.00%,3821,36.60%,3262,31.20%,2314,22.20%,5576,53.40%
QUEENS,8,2011,Female,9766,682,619,6.30%,2955,30.30%,3850,39.40%,2342,24.00%,6192,63.40%
QUEENS,8,2011,Male,10438,679,893,8.60%,3291,31.50%,3918,37.50%,2336,22.40%,6254,59.90%
QUEENS,All Grades,2006,Female,57281,667,5371,9.40%,13225,23.10%,26588,46.40%,12097,21.10%,38685,67.50%
QUEENS,All Grades,2006,Male,59766,666,6501,10.90%,13507,22.60%,27065,45.30%,12693,21.20%,39758,66.50%
QUEENS,All Grades,2007,Female,56887,676,3350,5.90%,10671,18.80%,27632,48.60%,15234,26.80%,42866,75.40%
QUEENS,All Grades,2007,Male,59936,674,4582,7.60%,11194,18.70%,28582,47.70%,15578,26.00%,44160,73.70%
QUEENS,All Grades,2008,Female,56439,682,1893,3.40%,7725,13.70%,30382,53.80%,16439,29.10%,46821,83.00%
QUEENS,All Grades,2008,Male,59658,680,2851,4.80%,8886,14.90%,30888,51.80%,17033,28.60%,47921,80.30%
QUEENS,All Grades,2009,Female,57053,688,998,1.70%,5698,10.00%,30882,54.10%,19475,34.10%,50357,88.30%
QUEENS,All Grades,2009,Male,60629,686,1608,2.70%,6826,11.30%,32528,53.70%,19667,32.40%,52195,86.10%
QUEENS,All Grades,2010,Female,58238,687,3861,6.60%,17482,30.00%,19701,33.80%,17194,29.50%,36895,63.40%
QUEENS,All Grades,2010,Male,61901,685,4909,7.90%,18859,30.50%,20784,33.60%,17349,28.00%,38133,61.60%
QUEENS,All Grades,2011,Female,59144,687,3363,5.70%,16616,28.10%,23177,39.20%,15988,27.00%,39165,66.20%
QUEENS,All Grades,2011,Male,62585,685,4564,7.30%,17461,27.90%,23851,38.10%,16709,26.70%,40560,64.80%
STATEN ISLAND,3,2006,Female,2072,684,119,5.70%,230,11.10%,1024,49.40%,699,33.70%,1723,83.20%
STATEN ISLAND,3,2006,Male,2233,684,169,7.60%,237,10.60%,1067,47.80%,760,34.00%,1827,81.80%
STATEN ISLAND,3,2007,Female,2109,691,79,3.70%,179,8.50%,1080,51.20%,771,36.60%,1851,87.80%
STATEN ISLAND,3,2007,Male,2256,689,97,4.30%,199,8.80%,1178,52.20%,782,34.70%,1960,86.90%
STATEN ISLAND,3,2008,Female,2074,691,41,2.00%,157,7.60%,1276,61.50%,600,28.90%,1876,90.50%
STATEN ISLAND,3,2008,Male,2301,691,59,2.60%,176,7.60%,1395,60.60%,671,29.20%,2066,89.80%
STATEN ISLAND,3,2009,Female,2172,696,17,0.80%,113,5.20%,1355,62.40%,687,31.60%,2042,94.00%
STATEN ISLAND,3,2009,Male,2347,692,37,1.60%,145,6.20%,1516,64.60%,649,27.70%,2165,92.20%
STATEN ISLAND,3,2010,Female,2148,695,165,7.70%,633,29.50%,783,36.50%,567,26.40%,1350,62.80%
STATEN ISLAND,3,2010,Male,2268,695,219,9.70%,653,28.80%,763,33.60%,633,27.90%,1396,61.60%
STATEN ISLAND,3,2011,Female,2303,688,188,8.20%,654,28.40%,1148,49.80%,313,13.60%,1461,63.40%
STATEN ISLAND,3,2011,Male,2418,688,218,9.00%,677,28.00%,1199,49.60%,324,13.40%,1523,63.00%
STATEN ISLAND,4,2006,Female,2119,681,103,4.90%,281,13.30%,1136,53.60%,599,28.30%,1735,81.90%
STATEN ISLAND,4,2006,Male,2157,681,140,6.50%,272,12.60%,1089,50.50%,656,30.40%,1745,80.90%
STATEN ISLAND,4,2007,Female,2049,681,91,4.40%,291,14.20%,1091,53.20%,576,28.10%,1667,81.40%
STATEN ISLAND,4,2007,Male,2265,683,142,6.30%,280,12.40%,1142,50.40%,701,30.90%,1843,81.40%
STATEN ISLAND,4,2008,Female,2081,686,75,3.60%,208,10.00%,1160,55.70%,638,30.70%,1798,86.40%
STATEN ISLAND,4,2008,Male,2225,686,100,4.50%,238,10.70%,1164,52.30%,723,32.50%,1887,84.80%
STATEN ISLAND,4,2009,Female,2092,694,77,3.70%,178,8.50%,989,47.30%,848,40.50%,1837,87.80%
STATEN ISLAND,4,2009,Male,2291,694,83,3.60%,170,7.40%,1089,47.50%,949,41.40%,2038,89.00%
STATEN ISLAND,4,2010,Female,2172,689,117,5.40%,660,30.40%,783,36.00%,612,28.20%,1395,64.20%
STATEN ISLAND,4,2010,Male,2358,688,130,5.50%,694,29.40%,873,37.00%,661,28.00%,1534,65.10%
STATEN ISLAND,4,2011,Female,2148,692,90,4.20%,509,23.70%,913,42.50%,636,29.60%,1549,72.10%
STATEN ISLAND,4,2011,Male,2277,692,125,5.50%,554,24.30%,848,37.20%,750,32.90%,1598,70.20%
STATEN ISLAND,5,2006,Female,2147,672,155,7.20%,402,18.70%,1085,50.50%,505,23.50%,1590,74.10%
STATEN ISLAND,5,2006,Male,2188,673,161,7.40%,382,17.50%,1103,50.40%,542,24.80%,1645,75.20%
STATEN ISLAND,5,2007,Female,2161,681,68,3.10%,290,13.40%,1212,56.10%,591,27.30%,1803,83.40%
STATEN ISLAND,5,2007,Male,2228,680,109,4.90%,303,13.60%,1188,53.30%,628,28.20%,1816,81.50%
STATEN ISLAND,5,2008,Female,2064,686,50,2.40%,207,10.00%,1133,54.90%,674,32.70%,1807,87.50%
STATEN ISLAND,5,2008,Male,2289,686,78,3.40%,251,11.00%,1180,51.60%,780,34.10%,1960,85.60%
STATEN ISLAND,5,2009,Female,2103,692,24,1.10%,135,6.40%,1062,50.50%,882,41.90%,1944,92.40%
STATEN ISLAND,5,2009,Male,2254,691,41,1.80%,182,8.10%,1071,47.50%,960,42.60%,2031,90.10%
STATEN ISLAND,5,2010,Female,2101,689,95,4.50%,585,27.80%,831,39.60%,590,28.10%,1421,67.60%
STATEN ISLAND,5,2010,Male,2312,688,130,5.60%,598,25.90%,928,40.10%,656,28.40%,1584,68.50%
STATEN ISLAND,5,2011,Female,2194,690,81,3.70%,529,24.10%,990,45.10%,594,27.10%,1584,72.20%
STATEN ISLAND,5,2011,Male,2328,690,103,4.40%,554,23.80%,1020,43.80%,651,28.00%,1671,71.80%
STATEN ISLAND,6,2006,Female,2041,656,261,12.80%,559,27.40%,939,46.00%,282,13.80%,1221,59.80%
STATEN ISLAND,6,2006,Male,2190,656,300,13.70%,574,26.20%,1010,46.10%,306,14.00%,1316,60.10%
STATEN ISLAND,6,2007,Female,2005,666,161,8.00%,439,21.90%,1065,53.10%,340,17.00%,1405,70.10%
STATEN ISLAND,6,2007,Male,2128,665,229,10.80%,443,20.80%,1083,50.90%,373,17.50%,1456,68.40%
STATEN ISLAND,6,2008,Female,2097,676,90,4.30%,327,15.60%,1114,53.10%,566,27.00%,1680,80.10%
STATEN ISLAND,6,2008,Male,2130,673,139,6.50%,370,17.40%,1060,49.80%,561,26.30%,1621,76.10%
STATEN ISLAND,6,2009,Female,2002,681,55,2.70%,282,14.10%,1100,54.90%,565,28.20%,1665,83.20%
STATEN ISLAND,6,2009,Male,2258,678,109,4.80%,346,15.30%,1134,50.20%,669,29.60%,1803,79.80%
STATEN ISLAND,6,2010,Female,2038,681,158,7.80%,642,31.50%,690,33.90%,548,26.90%,1238,60.70%
STATEN ISLAND,6,2010,Male,2207,678,215,9.70%,699,31.70%,714,32.40%,579,26.20%,1293,58.60%
STATEN ISLAND,6,2011,Female,1982,684,128,6.50%,573,28.90%,747,37.70%,534,26.90%,1281,64.60%
STATEN ISLAND,6,2011,Male,2243,682,193,8.60%,678,30.20%,736,32.80%,636,28.40%,1372,61.20%
STATEN ISLAND,7,2006,Female,2086,652,237,11.40%,684,32.80%,948,45.40%,217,10.40%,1165,55.80%
STATEN ISLAND,7,2006,Male,2176,650,275,12.60%,693,31.80%,983,45.20%,225,10.30%,1208,55.50%
STATEN ISLAND,7,2007,Female,2070,663,152,7.30%,556,26.90%,989,47.80%,373,18.00%,1362,65.80%
STATEN ISLAND,7,2007,Male,2230,660,175,7.80%,660,29.60%,996,44.70%,399,17.90%,1395,62.60%
STATEN ISLAND,7,2008,Female,2068,673,46,2.20%,413,20.00%,1102,53.30%,507,24.50%,1609,77.80%
STATEN ISLAND,7,2008,Male,2185,671,101,4.60%,438,20.00%,1110,50.80%,536,24.50%,1646,75.30%
STATEN ISLAND,7,2009,Female,2142,679,22,1.00%,265,12.40%,1249,58.30%,606,28.30%,1855,86.60%
STATEN ISLAND,7,2009,Male,2195,676,37,1.70%,305,13.90%,1295,59.00%,558,25.40%,1853,84.40%
STATEN ISLAND,7,2010,Female,2009,677,132,6.60%,655,32.60%,650,32.40%,572,28.50%,1222,60.80%
STATEN ISLAND,7,2010,Male,2251,674,216,9.60%,714,31.70%,726,32.30%,595,26.40%,1321,58.70%
STATEN ISLAND,7,2011,Female,2054,680,140,6.80%,545,26.50%,735,35.80%,634,30.90%,1369,66.70%
STATEN ISLAND,7,2011,Male,2221,678,187,8.40%,621,28.00%,723,32.60%,690,31.10%,1413,63.60%
STATEN ISLAND,8,2006,Female,2095,649,346,16.50%,722,34.50%,836,39.90%,191,9.10%,1027,49.00%
STATEN ISLAND,8,2006,Male,2377,647,391,16.40%,844,35.50%,959,40.30%,183,7.70%,1142,48.00%
STATEN ISLAND,8,2007,Female,2122,655,277,13.10%,675,31.80%,913,43.00%,257,12.10%,1170,55.10%
STATEN ISLAND,8,2007,Male,2258,652,339,15.00%,720,31.90%,985,43.60%,214,9.50%,1199,53.10%
STATEN ISLAND,8,2008,Female,2047,667,131,6.40%,534,26.10%,1018,49.70%,364,17.80%,1382,67.50%
STATEN ISLAND,8,2008,Male,2253,663,203,9.00%,598,26.50%,1108,49.20%,344,15.30%,1452,64.40%
STATEN ISLAND,8,2009,Female,2092,674,49,2.30%,422,20.20%,1237,59.10%,384,18.40%,1621,77.50%
STATEN ISLAND,8,2009,Male,2213,670,85,3.80%,501,22.60%,1267,57.30%,360,16.30%,1627,73.50%
STATEN ISLAND,8,2010,Female,2195,679,200,9.10%,790,36.00%,715,32.60%,490,22.30%,1205,54.90%
STATEN ISLAND,8,2010,Male,2217,673,259,11.70%,885,39.90%,707,31.90%,366,16.50%,1073,48.40%
STATEN ISLAND,8,2011,Female,2063,678,154,7.50%,672,32.60%,887,43.00%,350,17.00%,1237,60.00%
STATEN ISLAND,8,2011,Male,2289,674,250,10.90%,769,33.60%,923,40.30%,347,15.20%,1270,55.50%
STATEN ISLAND,All Grades,2006,Female,12560,665,1221,9.70%,2878,22.90%,5968,47.50%,2493,19.80%,8461,67.40%
STATEN ISLAND,All Grades,2006,Male,13321,665,1436,10.80%,3002,22.50%,6211,46.60%,2672,20.10%,8883,66.70%
STATEN ISLAND,All Grades,2007,Female,12516,673,828,6.60%,2430,19.40%,6350,50.70%,2908,23.20%,9258,74.00%
STATEN ISLAND,All Grades,2007,Male,13365,672,1091,8.20%,2605,19.50%,6572,49.20%,3097,23.20%,9669,72.30%
STATEN ISLAND,All Grades,2008,Female,12431,680,433,3.50%,1846,14.80%,6803,54.70%,3349,26.90%,10152,81.70%
STATEN ISLAND,All Grades,2008,Male,13383,678,680,5.10%,2071,15.50%,7017,52.40%,3615,27.00%,10632,79.40%
STATEN ISLAND,All Grades,2009,Female,12603,686,244,1.90%,1395,11.10%,6992,55.50%,3972,31.50%,10964,87.00%
STATEN ISLAND,All Grades,2009,Male,13558,684,392,2.90%,1649,12.20%,7372,54.40%,4145,30.60%,11517,84.90%
STATEN ISLAND,All Grades,2010,Female,12663,685,867,6.80%,3965,31.30%,4452,35.20%,3379,26.70%,7831,61.80%
STATEN ISLAND,All Grades,2010,Male,13613,683,1169,8.60%,4243,31.20%,4711,34.60%,3490,25.60%,8201,60.20%
STATEN ISLAND,All Grades,2011,Female,12744,685,781,6.10%,3482,27.30%,5420,42.50%,3061,24.00%,8481,66.50%
STATEN ISLAND,All Grades,2011,Male,13776,684,1076,7.80%,3853,28.00%,5449,39.60%,3398,24.70%,8847,64.20%
