Borough,Grade,Year,Category,Number Tested,Mean Scale Score,Level1,Level1p,Level2,Level2p,Level3,Level3p,Level4,Level4p,Level3&4,Level3&4p
BRONX,7,2009,Female,7613,664,185,2.40%,1802,23.70%,4863,63.90%,763,10.00%,5626,73.90%
BRONX,7,2009,Male,7998,662,314,3.90%,2131,26.60%,4688,58.60%,865,10.80%,5553,69.40%
BRONX,7,2010,Female,7433,662,1258,16.90%,3129,42.10%,2127,28.60%,919,12.40%,3046,41.00%
BRONX,7,2010,Male,8121,659,1522,18.70%,3597,44.30%,2134,26.30%,868,10.70%,3002,37.00%
BRONX,7,2011,Female,7542,664,1088,14.40%,3284,43.50%,2272,30.10%,898,11.90%,3170,42.00%
BRONX,7,2011,Male,7903,662,1440,18.20%,3239,41.00%,2204,27.90%,1020,12.90%,3224,40.80%
BRONX,8,2006,Female,8346,629,2631,31.50%,3499,41.90%,2012,24.10%,204,2.40%,2216,26.60%
BRONX,8,2006,Male,8392,624,2917,34.80%,3443,41.00%,1862,22.20%,170,2.00%,2032,24.20%
BRONX,8,2007,Female,8201,636,2076,25.30%,3428,41.80%,2437,29.70%,260,3.20%,2697,32.90%
BRONX,8,2007,Male,8528,633,2424,28.40%,3525,41.30%,2342,27.50%,237,2.80%,2579,30.20%
BRONX,8,2008,Female,7718,648,994,12.90%,2980,38.60%,3296,42.70%,448,5.80%,3744,48.50%
BRONX,8,2008,Male,8094,644,1416,17.50%,3018,37.30%,3238,40.00%,422,5.20%,3660,45.20%
BRONX,8,2009,Female,7786,661,419,5.40%,2295,29.50%,4381,56.30%,691,8.90%,5072,65.10%
BRONX,8,2009,Male,8268,656,605,7.30%,2718,32.90%,4403,53.30%,542,6.60%,4945,59.80%
BRONX,8,2010,Female,7708,663,1321,17.10%,3842,49.80%,1901,24.70%,644,8.40%,2545,33.00%
BRONX,8,2010,Male,8191,659,1892,23.10%,3923,47.90%,1808,22.10%,568,6.90%,2376,29.00%
BRONX,8,2011,Female,7543,665,1096,14.50%,3319,44.00%,2534,33.60%,594,7.90%,3128,41.50%
BRONX,8,2011,Male,8208,660,1573,19.20%,3675,44.80%,2436,29.70%,524,6.40%,2960,36.10%
BRONX,All Grades,2006,Female,48244,644,9741,20.20%,16696,34.60%,18403,38.10%,3404,7.10%,21807,45.20%
BRONX,All Grades,2006,Male,49616,642,11343,22.90%,15939,32.10%,18682,37.70%,3652,7.40%,22334,45.00%
BRONX,All Grades,2007,Female,47011,654,6479,13.80%,14822,31.50%,21034,44.70%,4676,9.90%,25710,54.70%
BRONX,All Grades,2007,Male,50061,651,8565,17.10%,15301,30.60%,21195,42.30%,5000,10.00%,26195,52.30%
BRONX,All Grades,2008,Female,45661,662,3561,7.80%,11742,25.70%,25117,55.00%,5241,11.50%,30358,66.50%
BRONX,All Grades,2008,Male,48700,659,5347,11.00%,12658,26.00%,25219,51.80%,5476,11.20%,30695,63.00%
BRONX,All Grades,2009,Female,45423,671,1819,4.00%,8780,19.30%,27585,60.70%,7239,15.90%,34824,76.70%
BRONX,All Grades,2009,Male,48521,668,2888,6.00%,10368,21.40%,27851,57.40%,7414,15.30%,35265,72.70%
BRONX,All Grades,2010,Female,45466,670,6265,13.80%,19975,43.90%,13502,29.70%,5724,12.60%,19226,42.30%
BRONX,All Grades,2010,Male,48687,668,8189,16.80%,20731,42.60%,13910,28.60%,5857,12.00%,19767,40.60%
BRONX,All Grades,2011,Female,45598,672,5714,12.50%,19080,41.80%,16042,35.20%,4762,10.40%,20804,45.60%
BRONX,All Grades,2011,Male,48423,669,7670,15.80%,19865,41.00%,15843,32.70%,5045,10.40%,20888,43.10%
BROOKLYN,3,2006,Female,11345,675,908,8.00%,1791,15.80%,5808,51.20%,2838,25.00%,8646,76.20%
BROOKLYN,3,2006,Male,11708,673,1115,9.50%,1851,15.80%,6012,51.30%,2730,23.30%,8742,74.70%
BROOKLYN,3,2007,Female,11192,685,513,4.60%,1367,12.20%,5806,51.90%,3506,31.30%,9312,83.20%
BROOKLYN,3,2007,Male,11569,681,725,6.30%,1496,12.90%,6116,52.90%,3232,27.90%,9348,80.80%
BROOKLYN,3,2008,Female,10622,686,266,2.50%,948,8.90%,6801,64.00%,2607,24.50%,9408,88.60%
BROOKLYN,3,2008,Male,11260,683,470,4.20%,1186,10.50%,7009,62.20%,2595,23.00%,9604,85.30%
BROOKLYN,3,2009,Female,10803,691,100,0.90%,694,6.40%,7172,66.40%,2837,26.30%,10009,92.70%
BROOKLYN,3,2009,Male,11015,688,207,1.90%,901,8.20%,7288,66.20%,2619,23.80%,9907,89.90%
BROOKLYN,3,2010,Female,10628,691,1200,11.30%,3630,34.20%,3458,32.50%,2340,22.00%,5798,54.60%
BROOKLYN,3,2010,Male,11440,689,1561,13.60%,3871,33.80%,3581,31.30%,2427,21.20%,6008,52.50%
BROOKLYN,3,2011,Female,10825,685,1145,10.60%,3703,34.20%,4753,43.90%,1224,11.30%,5977,55.20%
BROOKLYN,3,2011,Male,11355,684,1467,12.90%,3749,33.00%,4716,41.50%,1423,12.50%,6139,54.10%
BROOKLYN,4,2006,Female,11073,669,1046,9.40%,2196,19.80%,5545,50.10%,2286,20.60%,7831,70.70%
BROOKLYN,4,2006,Male,11521,670,1233,10.70%,2061,17.90%,5663,49.20%,2564,22.30%,8227,71.40%
BROOKLYN,4,2007,Female,10970,675,762,6.90%,2050,18.70%,5641,51.40%,2517,22.90%,8158,74.40%
BROOKLYN,4,2007,Male,11343,674,1019,9.00%,1910,16.80%,5683,50.10%,2731,24.10%,8414,74.20%
BROOKLYN,4,2008,Female,10938,680,589,5.40%,1557,14.20%,5874,53.70%,2918,26.70%,8792,80.40%
BROOKLYN,4,2008,Male,11186,677,828,7.40%,1599,14.30%,5804,51.90%,2955,26.40%,8759,78.30%
BROOKLYN,4,2009,Female,10607,690,373,3.50%,1079,10.20%,5396,50.90%,3759,35.40%,9155,86.30%
BROOKLYN,4,2009,Male,11123,687,580,5.20%,1267,11.40%,5533,49.70%,3743,33.70%,9276,83.40%
BROOKLYN,4,2010,Female,10971,684,693,6.30%,3845,35.00%,3813,34.80%,2620,23.90%,6433,58.60%
BROOKLYN,4,2010,Male,11134,684,872,7.80%,3809,34.20%,3756,33.70%,2697,24.20%,6453,58.00%
BROOKLYN,4,2011,Female,10665,686,626,5.90%,3413,32.00%,3978,37.30%,2648,24.80%,6626,62.10%
BROOKLYN,4,2011,Male,11439,684,890,7.80%,3714,32.50%,4103,35.90%,2732,23.90%,6835,59.80%
BROOKLYN,5,2006,Female,11583,662,1269,11.00%,3058,26.40%,5287,45.60%,1969,17.00%,7256,62.60%
BROOKLYN,5,2006,Male,11489,660,1651,14.40%,2836,24.70%,5013,43.60%,1989,17.30%,7002,60.90%
BROOKLYN,5,2007,Female,11129,672,709,6.40%,2307,20.70%,5732,51.50%,2381,21.40%,8113,72.90%
BROOKLYN,5,2007,Male,11733,669,1012,8.60%,2514,21.40%,5704,48.60%,2503,21.30%,8207,69.90%
BROOKLYN,5,2008,Female,10749,678,443,4.10%,1679,15.60%,5926,55.10%,2701,25.10%,8627,80.30%
BROOKLYN,5,2008,Male,11081,676,616,5.60%,1768,16.00%,5950,53.70%,2747,24.80%,8697,78.50%
BROOKLYN,5,2009,Female,10738,684,264,2.50%,1141,10.60%,5713,53.20%,3620,33.70%,9333,86.90%
BROOKLYN,5,2009,Male,10844,681,338,3.10%,1426,13.20%,5696,52.50%,3384,31.20%,9080,83.70%
BROOKLYN,5,2010,Female,10479,683,678,6.50%,3538,33.80%,3864,36.90%,2399,22.90%,6263,59.80%
BROOKLYN,5,2010,Male,10889,680,982,9.00%,3694,33.90%,3920,36.00%,2293,21.10%,6213,57.10%
BROOKLYN,5,2011,Female,10642,685,605,5.70%,3259,30.60%,4358,41.00%,2420,22.70%,6778,63.70%
BROOKLYN,5,2011,Male,10909,683,875,8.00%,3423,31.40%,4252,39.00%,2359,21.60%,6611,60.60%
BROOKLYN,6,2006,Female,11547,650,1922,16.60%,3560,30.80%,4785,41.40%,1280,11.10%,6065,52.50%
BROOKLYN,6,2006,Male,11823,648,2342,19.80%,3487,29.50%,4706,39.80%,1288,10.90%,5994,50.70%
BROOKLYN,6,2007,Female,10970,663,1237,11.30%,2692,24.50%,5058,46.10%,1983,18.10%,7041,64.20%
BROOKLYN,6,2007,Male,11326,658,1671,14.80%,2916,25.70%,4977,43.90%,1762,15.60%,6739,59.50%
BROOKLYN,6,2008,Female,10595,670,675,6.40%,2085,19.70%,5494,51.90%,2341,22.10%,7835,73.90%
BROOKLYN,6,2008,Male,11222,666,1004,8.90%,2477,22.10%,5392,48.00%,2349,20.90%,7741,69.00%
BROOKLYN,6,2009,Female,10541,676,406,3.90%,1784,16.90%,5840,55.40%,2511,23.80%,8351,79.20%
BROOKLYN,6,2009,Male,10887,672,689,6.30%,2125,19.50%,5609,51.50%,2464,22.60%,8073,74.20%
BROOKLYN,6,2010,Female,10614,677,1057,10.00%,3773,35.50%,3203,30.20%,2581,24.30%,5784,54.50%
BROOKLYN,6,2010,Male,10781,672,1467,13.60%,3950,36.60%,3064,28.40%,2300,21.30%,5364,49.80%
BROOKLYN,6,2011,Female,10411,679,984,9.50%,3450,33.10%,3470,33.30%,2507,24.10%,5977,57.40%
BROOKLYN,6,2011,Male,10866,675,1465,13.50%,3722,34.30%,3275,30.10%,2404,22.10%,5679,52.30%
BROOKLYN,7,2006,Female,11545,642,2043,17.70%,4278,37.10%,4370,37.90%,854,7.40%,5224,45.20%
BROOKLYN,7,2006,Male,12063,639,2549,21.10%,4501,37.30%,4107,34.00%,906,7.50%,5013,41.60%
BROOKLYN,7,2007,Female,11519,657,1062,9.20%,3852,33.40%,4916,42.70%,1689,14.70%,6605,57.30%
BROOKLYN,7,2007,Male,12109,651,1682,13.90%,4198,34.70%,4650,38.40%,1579,13.00%,6229,51.40%
BROOKLYN,7,2008,Female,11178,666,505,4.50%,2768,24.80%,5762,51.50%,2143,19.20%,7905,70.70%
BROOKLYN,7,2008,Male,11539,661,877,7.60%,3160,27.40%,5502,47.70%,2000,17.30%,7502,65.00%
BROOKLYN,7,2009,Female,10763,675,181,1.70%,1766,16.40%,6348,59.00%,2468,22.90%,8816,81.90%
BROOKLYN,7,2009,Male,11340,672,301,2.70%,2066,18.20%,6500,57.30%,2473,21.80%,8973,79.10%
BROOKLYN,7,2010,Female,10682,672,1166,10.90%,3746,35.10%,3264,30.60%,2506,23.50%,5770,54.00%
BROOKLYN,7,2010,Male,11097,669,1474,13.30%,4092,36.90%,3200,28.80%,2331,21.00%,5531,49.80%
BROOKLYN,7,2011,Female,10688,676,1009,9.40%,3569,33.40%,3305,30.90%,2805,26.20%,6110,57.20%
BROOKLYN,7,2011,Male,10880,672,1377,12.70%,3767,34.60%,3101,28.50%,2635,24.20%,5736,52.70%
BROOKLYN,8,2006,Female,11957,642,2622,21.90%,4352,36.40%,4033,33.70%,950,7.90%,4983,41.70%
BROOKLYN,8,2006,Male,12126,637,3159,26.10%,4459,36.80%,3686,30.40%,822,6.80%,4508,37.20%
BROOKLYN,8,2007,Female,11502,649,1973,17.20%,4066,35.40%,4348,37.80%,1115,9.70%,5463,47.50%
BROOKLYN,8,2007,Male,12177,645,2610,21.40%,4308,35.40%,4264,35.00%,995,8.20%,5259,43.20%
BROOKLYN,8,2008,Female,11142,662,920,8.30%,3215,28.90%,5354,48.10%,1653,14.80%,7007,62.90%
BROOKLYN,8,2008,Male,11656,656,1457,12.50%,3624,31.10%,5108,43.80%,1467,12.60%,6575,56.40%
BROOKLYN,8,2009,Female,11268,669,445,3.90%,2629,23.30%,6399,56.80%,1795,15.90%,8194,72.70%
BROOKLYN,8,2009,Male,11562,664,635,5.50%,3133,27.10%,6279,54.30%,1515,13.10%,7794,67.40%
BROOKLYN,8,2010,Female,11161,675,1314,11.80%,4386,39.30%,3402,30.50%,2059,18.40%,5461,48.90%
BROOKLYN,8,2010,Male,11688,670,1765,15.10%,4933,42.20%,3266,27.90%,1724,14.80%,4990,42.70%
BROOKLYN,8,2011,Female,10845,675,1050,9.70%,3921,36.20%,3944,36.40%,1930,17.80%,5874,54.20%
BROOKLYN,8,2011,Male,11293,671,1498,13.30%,4189,37.10%,3760,33.30%,1846,16.30%,5606,49.60%
BROOKLYN,All Grades,2006,Female,69050,657,9810,14.20%,19235,27.90%,29828,43.20%,10177,14.70%,40005,57.90%
BROOKLYN,All Grades,2006,Male,70730,654,12049,17.00%,19195,27.10%,29187,41.30%,10299,14.60%,39486,55.80%
BROOKLYN,All Grades,2007,Female,67282,667,6256,9.30%,16334,24.30%,31501,46.80%,13191,19.60%,44692,66.40%
BROOKLYN,All Grades,2007,Male,70257,663,8719,12.40%,17342,24.70%,31394,44.70%,12802,18.20%,44196,62.90%
BROOKLYN,All Grades,2008,Female,65224,673,3398,5.20%,12252,18.80%,35211,54.00%,14363,22.00%,49574,76.00%
BROOKLYN,All Grades,2008,Male,67944,670,5252,7.70%,13814,20.30%,34765,51.20%,14113,20.80%,48878,71.90%
BROOKLYN,All Grades,2009,Female,64720,681,1769,2.70%,9093,14.00%,36868,57.00%,16990,26.30%,53858,83.20%
BROOKLYN,All Grades,2009,Male,66771,677,2750,4.10%,10918,16.40%,36905,55.30%,16198,24.30%,53103,79.50%
BROOKLYN,All Grades,2010,Female,64535,680,6108,9.50%,22918,35.50%,21004,32.50%,14505,22.50%,35509,55.00%
BROOKLYN,All Grades,2010,Male,67029,677,8121,12.10%,24349,36.30%,20787,31.00%,13772,20.50%,34559,51.60%
BROOKLYN,All Grades,2011,Female,64076,681,5419,8.50%,21315,33.30%,23808,37.20%,13534,21.10%,37342,58.30%
BROOKLYN,All Grades,2011,Male,66742,678,7572,11.30%,22564,33.80%,23207,34.80%,13399,20.10%,36606,54.80%
MANHATTAN,3,2006,Female,4796,672,427,8.90%,868,18.10%,2412,50.30%,1089,22.70%,3501,73.00%
MANHATTAN,3,2006,Male,4842,671,482,10.00%,845,17.50%,2471,51.00%,1044,21.60%,3515,72.60%
MANHATTAN,3,2007,Female,4693,681,248,5.30%,618,13.20%,2572,54.80%,1255,26.70%,3827,81.50%
MANHATTAN,3,2007,Male,4744,679,311,6.60%,649,13.70%,2591,54.60%,1193,25.10%,3784,79.80%
MANHATTAN,3,2008,Female,4367,686,93,2.10%,471,10.80%,2729,62.50%,1074,24.60%,3803,87.10%
MANHATTAN,3,2008,Male,4647,682,164,3.50%,543,11.70%,2917,62.80%,1023,22.00%,3940,84.80%
MANHATTAN,3,2009,Female,4467,690,44,1.00%,325,7.30%,2935,65.70%,1163,26.00%,4098,91.70%
MANHATTAN,3,2009,Male,4725,687,80,1.70%,381,8.10%,3155,66.80%,1109,23.50%,4264,90.20%
MANHATTAN,3,2010,Female,4407,691,487,11.10%,1466,33.30%,1438,32.60%,1016,23.10%,2454,55.70%
MANHATTAN,3,2010,Male,4511,692,596,13.20%,1358,30.10%,1464,32.50%,1093,24.20%,2557,56.70%
MANHATTAN,3,2011,Female,4438,687,450,10.10%,1398,31.50%,1867,42.10%,723,16.30%,2590,58.40%
MANHATTAN,3,2011,Male,4564,686,533,11.70%,1439,31.50%,1847,40.50%,745,16.30%,2592,56.80%
MANHATTAN,4,2006,Female,4657,668,474,10.20%,1020,21.90%,2207,47.40%,956,20.50%,3163,67.90%
MANHATTAN,4,2006,Male,4988,670,530,10.60%,945,18.90%,2405,48.20%,1108,22.20%,3513,70.40%
MANHATTAN,4,2007,Female,4577,674,351,7.70%,947,20.70%,2209,48.30%,1070,23.40%,3279,71.60%
MANHATTAN,4,2007,Male,4751,673,442,9.30%,912,19.20%,2224,46.80%,1173,24.70%,3397,71.50%
MANHATTAN,4,2008,Female,4591,679,247,5.40%,688,15.00%,2433,53.00%,1223,26.60%,3656,79.60%
MANHATTAN,4,2008,Male,4566,679,322,7.10%,673,14.70%,2349,51.40%,1222,26.80%,3571,78.20%
MANHATTAN,4,2009,Female,4340,691,185,4.30%,491,11.30%,2033,46.80%,1631,37.60%,3664,84.40%
MANHATTAN,4,2009,Male,4582,687,284,6.20%,529,11.50%,2127,46.40%,1642,35.80%,3769,82.30%
MANHATTAN,4,2010,Female,4518,687,284,6.30%,1539,34.10%,1451,32.10%,1244,27.50%,2695,59.70%
MANHATTAN,4,2010,Male,4725,687,375,7.90%,1503,31.80%,1524,32.30%,1323,28.00%,2847,60.30%
MANHATTAN,4,2011,Female,4467,689,269,6.00%,1261,28.20%,1632,36.50%,1305,29.20%,2937,65.70%
MANHATTAN,4,2011,Male,4514,689,308,6.80%,1308,29.00%,1518,33.60%,1380,30.60%,2898,64.20%
MANHATTAN,5,2006,Female,4850,660,646,13.30%,1335,27.50%,2050,42.30%,819,16.90%,2869,59.20%
MANHATTAN,5,2006,Male,4936,658,791,16.00%,1253,25.40%,2092,42.40%,800,16.20%,2892,58.60%
MANHATTAN,5,2007,Female,4499,670,298,6.60%,1079,24.00%,2209,49.10%,913,20.30%,3122,69.40%
