Borough,Grade,Year,Demographic,Number Tested,Mean Scale Score,Level1_2,Level3,Level4
BROOKLYN,3,2007,Male,11569,681,"2,221.0",6116,3232
BROOKLYN,3,2008,Female,10622,686,"1,214.0",6801,2607
BROOKLYN,3,2008,Male,11260,683,"1,656.0",7009,2595
BROOKLYN,3,2009,Female,10803,691,794.0,7172,2837
BROOKLYN,3,2009,Male,11015,688,"1,108.0",7288,2619
BROOKLYN,3,2010,Female,10628,691,"4,830.0",3458,2340
BROOKLYN,3,2010,Male,11440,689,"5,432.0",3581,2427
BROOKLYN,3,2011,Female,10825,685,"4,848.0",4753,1224
BROOKLYN,3,2011,Male,11355,684,"5,216.0",4716,1423
BROOKLYN,3,2012,Female,10807,687,"4,634.0",4859,1314
BROOKLYN,3,2012,Male,11338,686,"4,972.0",4948,1418
BROOKLYN,4,2006,Female,11073,669,"3,242.0",5545,2286
BROOKLYN,4,2006,Male,11521,670,"3,294.0",5663,2564
BROOKLYN,4,2007,Female,10970,675,"2,812.0",5641,2517
BROOKLYN,4,2007,Male,11343,674,"2,929.0",5683,2731
BROOKLYN,4,2008,Female,10938,680,"2,146.0",5874,2918
BROOKLYN,4,2008,Male,11186,677,"2,427.0",5804,2955
BROOKLYN,4,2009,Female,10607,690,"1,452.0",5396,3759
BROOKLYN,4,2009,Male,11123,687,"1,847.0",5533,3743
BROOKLYN,4,2010,Female,10971,684,"4,538.0",3813,2620
BROOKLYN,4,2010,Male,11134,684,"4,681.0",3756,2697
BROOKLYN,4,2011,Female,10665,686,"4,039.0",3978,2648
BROOKLYN,4,2011,Male,11439,684,"4,604.0",4103,2732
BROOKLYN,4,2012,Female,10624,690,"3,541.0",4001,3082
BROOKLYN,4,2012,Male,11056,688,"3,890.0",3969,3197
BROOKLYN,5,2006,Female,11583,662,"4,327.0",5287,1969
BROOKLYN,5,2006,Male,11489,660,"4,487.0",5013,1989
BROOKLYN,5,2007,Female,11129,672,"3,016.0",5732,2381
BROOKLYN,5,2007,Male,11733,669,"3,526.0",5704,2503
BROOKLYN,5,2008,Female,10749,678,"2,122.0",5926,2701
BROOKLYN,5,2008,Male,11081,676,"2,384.0",5950,2747
