Borough,Grade,Year,Demographic,Number Tested,Mean Scale Score,Level1_2,Level3,Level4
STATEN ISLAND,5,2006,Male,2188,673,543.0,1103,542
STATEN ISLAND,5,2007,Female,2161,681,358.0,1212,591
STATEN ISLAND,5,2007,Male,2228,680,412.0,1188,628
STATEN ISLAND,5,2008,Female,2064,686,257.0,1133,674
STATEN ISLAND,5,2008,Male,2289,686,329.0,1180,780
STATEN ISLAND,5,2009,Female,2103,692,159.0,1062,882
STATEN ISLAND,5,2009,Male,2254,691,223.0,1071,960
STATEN ISLAND,5,2010,Female,2101,689,680.0,831,590
STATEN ISLAND,5,2010,Male,2312,688,728.0,928,656
STATEN ISLAND,5,2011,Female,2194,690,610.0,990,594
STATEN ISLAND,5,2011,Male,2328,690,657.0,1020,651
STATEN ISLAND,5,2012,Female,2131,693,559.0,870,702
STATEN ISLAND,5,2012,Male,2291,693,634.0,892,765
STATEN ISLAND,6,2006,Female,2041,656,820.0,939,282
STATEN ISLAND,6,2006,Male,2190,656,874.0,1010,306
STATEN ISLAND,6,2007,Female,2005,666,600.0,1065,340
STATEN ISLAND,6,2007,Male,2128,665,672.0,1083,373
STATEN ISLAND,6,2008,Female,2097,676,417.0,1114,566
STATEN ISLAND,6,2008,Male,2130,673,509.0,1060,561
STATEN ISLAND,6,2009,Female,2002,681,337.0,1100,565
STATEN ISLAND,6,2009,Male,2258,678,455.0,1134,669
STATEN ISLAND,6,2010,Female,2038,681,800.0,690,548
STATEN ISLAND,6,2010,Male,2207,678,914.0,714,579
STATEN ISLAND,6,2011,Female,1982,684,701.0,747,534
STATEN ISLAND,6,2011,Male,2243,682,871.0,736,636
STATEN ISLAND,6,2012,Female,2082,684,684.0,689,709
STATEN ISLAND,6,2012,Male,2220,682,791.0,738,691
STATEN ISLAND,7,2006,Female,2086,652,921.0,948,217
STATEN ISLAND,7,2006,Male,2176,650,968.0,983,225
STATEN ISLAND,7,2007,Female,2070,663,708.0,989,373
STATEN ISLAND,7,2007,Male,2230,660,835.0,996,399
STATEN ISLAND,7,2008,Female,2068,673,459.0,1102,507
STATEN ISLAND,7,2008,Male,2185,671,539.0,1110,536
STATEN ISLAND,7,2009,Female,2142,679,287.0,1249,606
STATEN ISLAND,7,2009,Male,2195,676,342.0,1295,558
STATEN ISLAND,7,2010,Female,2009,677,787.0,650,572
STATEN ISLAND,7,2010,Male,2251,674,930.0,726,595
STATEN ISLAND,7,2011,Female,2054,680,685.0,735,634
STATEN ISLAND,7,2011,Male,2221,678,808.0,723,690
STATEN ISLAND,7,2012,Female,1954,679,669.0,668,617
STATEN ISLAND,7,2012,Male,2203,679,780.0,719,704
STATEN ISLAND,8,2006,Female,2095,649,"1,068.0",836,191
STATEN ISLAND,8,2006,Male,2377,647,"1,235.0",959,183
STATEN ISLAND,8,2007,Female,2122,655,952.0,913,257
STATEN ISLAND,8,2007,Male,2258,652,"1,059.0",985,214
STATEN ISLAND,8,2008,Female,2047,667,665.0,1018,364
STATEN ISLAND,8,2008,Male,2253,663,801.0,1108,344
STATEN ISLAND,8,2009,Female,2092,674,471.0,1237,384
STATEN ISLAND,8,2009,Male,2213,670,586.0,1267,360
STATEN ISLAND,8,2010,Female,2195,679,990.0,715,490
STATEN ISLAND,8,2010,Male,2217,673,"1,144.0",707,366
STATEN ISLAND,8,2011,Female,2063,678,826.0,887,350
STATEN ISLAND,8,2011,Male,2289,674,"1,019.0",923,347
STATEN ISLAND,8,2012,Female,2048,679,821.0,844,383
STATEN ISLAND,8,2012,Male,2232,677,955.0,928,349
STATEN ISLAND,All Grades,2006,Female,12560,665,"4,099.0",5968,2493
STATEN ISLAND,All Grades,2006,Male,13321,665,"4,438.0",6211,2672
STATEN ISLAND,All Grades,2007,Female,12516,673,"3,258.0",6350,2908
STATEN ISLAND,All Grades,2007,Male,13365,672,"3,696.0",6572,3097
STATEN ISLAND,All Grades,2008,Female,12431,680,"2,279.0",6803,3349
STATEN ISLAND,All Grades,2008,Male,13383,678,"2,751.0",7017,3615
STATEN ISLAND,All Grades,2009,Female,12603,686,"1,639.0",6992,3972
STATEN ISLAND,All Grades,2009,Male,13558,684,"2,041.0",7372,4145
STATEN ISLAND,All Grades,2010,Female,12663,685,"4,832.0",4452,3379
STATEN ISLAND,All Grades,2010,Male,13613,683,"5,412.0",4711,3490
STATEN ISLAND,All Grades,2011,Female,12744,685,"4,263.0",5420,3061
STATEN ISLAND,All Grades,2011,Male,13776,684,"4,929.0",5449,3398
STATEN ISLAND,All Grades,2012,Female,12835,687,"4,175.0",5207,3453
STATEN ISLAND,All Grades,2012,Male,13791,686,"4,677.0",5429,3685
